,Problem,Explored,Time
0,"[[1, 2, 3], [4, 5, 6], [7, 8, 0]]",0,0.01664925366640091
1,"[[1, 2, 3], [4, 5, 6], [7, 0, 8]]",1,0.0003267228603363037
2,"[[1, 2, 3], [4, 0, 5], [7, 8, 6]]",2,0.0008117221295833588
3,"[[1, 0, 3], [4, 2, 5], [7, 8, 6]]",3,0.0010102391242980957
4,"[[1, 5, 2], [4, 0, 3], [7, 8, 6]]",4,0.0010178238153457642
5,"[[1, 5, 2], [0, 4, 3], [7, 8, 6]]",5,0.0016731470823287964
6,"[[1, 5, 2], [4, 8, 3], [7, 6, 0]]",6,0.0019216015934944153
7,"[[1, 5, 2], [4, 8, 0], [7, 6, 3]]",7,0.007250279188156128
8,"[[0, 5, 2], [1, 8, 3], [4, 7, 6]]",8,0.001057986170053482
9,"[[1, 0, 2], [8, 5, 3], [4, 7, 6]]",41,0.03128254413604736
10,"[[5, 8, 2], [1, 0, 3], [4, 7, 6]]",48,0.035895559936761856
11,"[[5, 8, 2], [1, 7, 3], [4, 0, 6]]",45,0.07278943434357643
12,"[[5, 8, 2], [1, 7, 3], [0, 4, 6]]",120,0.1509571634232998
13,"[[5, 8, 2], [0, 7, 3], [1, 4, 6]]",83,0.10148017853498459
14,"[[5, 8, 2], [7, 0, 3], [1, 4, 6]]",50,0.06738237291574478
15,"[[8, 0, 2], [5, 7, 3], [1, 4, 6]]",81,0.10068917647004128
16,"[[8, 7, 2], [5, 0, 3], [1, 4, 6]]",58,0.06888743489980698
17,"[[5, 0, 8], [7, 3, 2], [1, 4, 6]]",125,0.08772284165024757
18,"[[8, 7, 2], [5, 4, 3], [1, 6, 0]]",204,0.3848825916647911
19,"[[8, 0, 7], [5, 3, 2], [1, 4, 6]]",229,0.29489678889513016
20,"[[8, 7, 0], [5, 4, 2], [1, 6, 3]]",82,0.03271809592843056
21,"[[8, 0, 7], [5, 4, 2], [1, 6, 3]]",81,0.1274847574532032
22,"[[0, 8, 7], [5, 4, 2], [1, 6, 3]]",90,0.09143882989883423
23,"[[8, 4, 7], [5, 6, 2], [1, 0, 3]]",81,0.12622785195708275
24,"[[8, 4, 7], [5, 6, 2], [1, 3, 0]]",72,0.16203125193715096
25,"[[8, 4, 7], [5, 6, 0], [1, 3, 2]]",71,0.16009718924760818
26,"[[0, 4, 7], [8, 6, 2], [5, 1, 3]]",84,0.08203769475221634
27,"[[8, 0, 7], [5, 4, 6], [1, 3, 2]]",51,0.15471753105521202
28,"[[8, 4, 7], [6, 2, 3], [5, 1, 0]]",60,0.15167012438178062
29,"[[8, 0, 6], [5, 7, 3], [1, 2, 4]]",153,0.19383205845952034
30,"[[0, 8, 7], [5, 6, 4], [1, 2, 3]]",144,0.1777242012321949
31,"[[8, 6, 7], [2, 5, 4], [3, 0, 1]]",141,0.2588941380381584
